,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
133,Puerto Rico,12,AR,1508873870,77,-26.8,-55.02,79.4,2.15
134,San Mateo Ixtatan,92,GT,1508873870,100,15.83,-91.48,61.94,2.15
135,Ziguinchor,75,SN,1508871600,89,12.58,-16.27,87.8,6.93
136,Rzhyshchiv,0,UA,1508871600,80,49.97,31.05,33.8,8.95
137,Berveni,0,RO,1508871600,76,47.75,22.47,48.2,6.93
138,Bugasong,48,PH,1508873872,100,11.04,122.07,78.72,1.81
139,Brook Park,90,US,1508872500,66,41.4,-81.8,55.4,17.22
140,El Cobre,40,CU,1508871000,55,20.05,-75.95,86.0,9.17
141,Prosperidad,8,PH,1508873873,100,10.52,123.31,76.43,1.25
142,Pallikondai,0,IN,1508873873,92,12.92,78.93,70.4,2.15
143,Kotaparh,88,IN,1508873874,97,19.15,82.35,69.95,1.59
144,Dumfries,75,US,1508872500,60,38.57,-77.33,71.6,9.17
145,Seravezza,0,IT,1508870700,82,43.99,10.23,55.4,4.7
146,Los Arcos,88,PH,1508873875,95,8.63,125.99,72.11,2.59
147,Panet,0,RO,1508871600,93,46.56,24.47,50.0,2.24
148,Les Clayes-sous-Bois,90,FR,1508873400,93,48.82,1.99,62.6,5.82
149,Havelock,75,US,1508871480,61,34.88,-76.9,78.8,17.22
150,Slavonski Brod,75,HR,1508871600,66,45.16,18.02,53.6,9.17
151,Millet,75,CA,1508871600,36,53.1,-113.47,64.4,24.16
152,Sicamous,40,CA,1508871600,71,50.83,-118.99,50.0,6.93
153,Fuquay-Varina,40,US,1508872200,43,35.58,-78.8,73.4,10.29
154,Vedaraniyam,0,IN,1508873877,100,10.37,79.85,81.83,6.06
155,Chegem,90,RU,1508871600,93,43.28,43.13,44.6,2.24
156,Son Tay,0,VN,1508871600,78,21.14,105.5,71.6,2.24
157,Buritizeiro,24,BR,1508873878,26,-17.35,-44.96,84.57,8.3
158,Mount Prospect,90,US,1508872500,93,42.07,-87.94,46.4,18.34
159,Serpa,0,PT,1508871600,52,37.95,-7.6,68.0,9.17
160,Pleasant Point,88,NZ,1508873879,75,-44.27,171.13,56.72,5.06
161,Singtam,88,IN,1508873879,95,27.23,88.5,57.66,1.7
162,Valvedditturai,0,LK,1508873879,100,9.82,80.17,78.54,6.06
163,Trucuk,92,ID,1508873880,95,-7.72,110.66,73.55,3.04
164,Victoriaville,88,CA,1508873880,70,46.05,-71.97,71.21,18.03
165,Moreira de Conegos,0,PT,1508871600,51,41.39,-8.34,60.8,3.36
166,Moncagua,0,SV,1508871000,66,13.53,-88.25,91.4,2.24
167,Mushie,8,CD,1508873881,90,-3.02,16.9,76.07,1.7
168,Novo Oriente,0,BR,1508873882,32,-5.53,-40.77,90.69,11.1
169,Hashtrud,0,IR,1508873882,76,37.48,47.05,31.79,3.04
170,Voznesenye,48,RU,1508873883,100,61.01,35.48,30.84,4.83
171,Senica,0,SK,1508871600,87,48.68,17.37,50.0,10.29
172,Newton,75,US,1508872500,83,42.34,-71.21,77.0,19.46
173,Arvore,0,PT,1508871600,51,41.34,-8.72,60.8,3.36
174,Manta,20,EC,1508871600,74,-0.95,-80.73,80.6,13.87
175,Uirauna,36,BR,1508873884,46,-6.52,-38.41,87.14,13.78
176,Ogaki,75,JP,1508871600,93,35.35,136.62,57.2,11.41
177,Volketswil,0,CH,1508872800,81,47.39,8.69,50.0,3.36
178,Monte Gordo,0,PT,1508871600,77,37.18,-7.45,69.8,4.7
179,Arsura,90,RO,1508871600,75,46.81,28.02,42.8,11.41
180,Victoria,20,CA,1508871600,66,48.43,-123.37,57.2,11.41
181,Coroisanmartin,68,RO,1508871600,93,46.4,24.6,48.2,2.24
182,Helsinki,75,FI,1508872800,74,60.17,24.94,35.6,10.29
183,Kampokpok,48,PH,1508873887,100,11.3,124.41,80.21,7.52
184,Poyarkovo,0,RU,1508873887,58,49.6,128.68,31.02,11.1
185,El Viso del Alcor,0,ES,1508873400,46,37.39,-5.72,73.4,5.82
186,Alghero,0,IT,1508871000,77,40.56,8.32,59.0,2.24
187,Pestretsy,36,RU,1508873888,75,55.75,49.65,23.96,3.83
188,Srinagar,0,IN,1508873889,79,34.08,74.82,30.35,1.59
189,Selimbar,90,RO,1508869800,93,45.77,24.2,46.4,3.36
190,Chara,8,RU,1508873890,72,56.91,118.26,5.51,2.15
191,Eisenberg,75,DE,1508872800,87,50.97,11.9,55.4,13.87
192,Ust-Donetskiy,92,RU,1508873891,88,47.64,40.87,45.65,17.47
193,Alanganallur,40,IN,1508871600,78,10.07,78.05,80.6,2.37
194,Buadtasan,80,PH,1508873891,100,6.0,124.61,75.17,4.72
195,Vatra Moldovitei,75,RO,1508871600,93,47.65,25.57,39.2,11.41
196,Agde,0,FR,1508873400,72,43.31,3.48,64.4,1.12
197,Alytus,75,LT,1508872800,74,54.4,24.05,33.8,6.93
198,Royal Palm Beach,75,US,1508871180,94,26.71,-80.23,84.2,9.17
199,Perry,1,US,1508871360,28,32.46,-83.73,75.2,11.41
200,Muang Phon-Hong,48,LA,1508873893,100,18.49,102.42,69.59,0.92
201,Recco,0,IT,1508871000,42,44.36,9.14,62.6,5.82
202,Gaoua,24,BF,1508873894,69,10.3,-3.25,81.29,4.38
203,Zarubino,0,RU,1508873894,100,42.63,131.09,44.03,11.43
204,Timisoara,0,RO,1508871600,81,45.75,21.23,51.8,14.99
205,Belcista,90,MK,1508868000,65,41.3,20.83,46.4,9.17
206,Waimes,92,BE,1508873100,100,50.41,6.11,60.8,5.82
207,Toritama,92,BR,1508873895,80,-8.01,-36.06,74.04,11.99
208,Ghazipur,0,IN,1508873748,49,25.58,83.57,67.88,3.38
209,Kolokani,0,ML,1508873896,29,13.57,-8.03,80.48,8.19
210,Uribia,24,CO,1508873896,38,11.71,-72.27,95.06,15.01
211,Jitra,75,MY,1508871600,94,6.27,100.42,78.8,8.19
212,Bolokhovo,64,RU,1508873897,74,54.09,37.82,27.42,5.95
213,Almasu,90,RO,1508871600,87,46.95,23.13,50.0,1.12
214,Pavagada,68,IN,1508873897,98,14.1,77.27,69.81,3.04
215,Taralanda,88,LK,1508873898,96,7.47,80.62,71.3,1.7
216,Nyahururu,64,KE,1508873898,95,0.04,36.37,55.64,3.38
217,Cucuta,40,CO,1508871600,52,7.88,-72.51,91.4,16.11
218,Santa Rosa,20,PH,1508871600,100,14.31,121.11,77.0,4.38
219,Auly,75,UA,1508871600,75,48.53,34.49,41.0,17.9
220,Pundri,0,IN,1508873899,69,29.75,76.55,62.84,8.97
221,Barongis,88,PH,1508873899,96,7.26,124.56,73.19,3.49
222,Suarez,92,CO,1508873900,99,2.95,-76.7,68.24,3.27
223,San Diego,1,US,1508871480,14,32.72,-117.16,107.6,5.82
224,Krasnosel’kup,76,RU,1508873900,95,65.7,82.47,20.54,11.54
225,Adelphi,75,US,1508871960,60,39.0,-76.97,75.2,9.17
226,Palisades Park,90,US,1508872620,88,40.85,-74.0,73.4,21.92
227,Konza,75,KE,1508871600,82,-1.74,37.13,66.2,3.36
228,Suseni,88,RO,1508873901,100,46.67,25.55,33.99,2.59
229,Dhidhdhoo,92,MV,1508873902,100,6.88,73.1,80.75,7.4
230,Elesbao Veloso,64,BR,1508873902,25,-6.2,-42.14,96.59,8.41
231,Shelby,90,US,1508872500,62,42.67,-83.03,57.2,18.34
232,Dudley,75,GB,1508872800,93,52.5,-2.08,60.8,10.29
233,Ghelinta,92,RO,1508873903,97,45.95,26.23,35.93,4.38
234,Frunze,92,UA,1508873903,89,48.67,38.75,40.02,13.22
235,Trélon,75,FR,1508872800,87,50.07,4.1,60.8,12.75
236,Issy-les-Moulineaux,40,FR,1508873400,93,48.82,2.28,62.6,4.7
237,Hatfield,90,GB,1508872800,87,51.76,-0.22,62.6,16.11
238,Perove,12,UA,1508873904,90,44.93,34.07,48.71,8.97
239,Préfecture de la Kémo,20,CF,1508873905,76,5.75,19.08,73.77,3.94
240,Kandila,40,GR,1508871000,77,38.7,20.93,59.0,8.05
241,Medellin,90,CO,1508871600,68,6.25,-75.56,71.6,5.82
242,Valbonne,0,FR,1508873400,47,43.63,7.0,60.8,3.36
243,Paicol,32,CO,1508873906,43,2.45,-75.78,80.48,2.93
244,Pyrgos,40,GR,1508871000,76,37.68,21.44,55.4,3.38
245,Torre Santa Susanna,75,IT,1508871300,82,40.47,17.74,57.2,18.34
246,Celica,76,EC,1508873907,73,-4.12,-79.95,72.42,1.48
247,Kitui,12,KE,1508873908,87,-1.37,38.01,66.26,7.63
248,Chaman,0,PK,1508873908,68,30.92,66.45,35.39,3.04
249,Finspang,75,SE,1508872800,81,58.71,15.77,44.6,8.05
250,Yahualica,0,MX,1508873908,26,21.13,-102.85,79.04,13.67
251,Topola,90,RS,1508871600,100,44.25,20.68,46.4,4.7
252,Spremberg,75,DE,1508872800,81,51.57,14.37,53.6,10.29
253,Rapperswil,0,CH,1508871000,81,47.23,8.82,50.0,3.36
254,Caucasia,24,CO,1508873910,73,7.99,-75.19,85.43,2.71
255,Monastirakion,40,GR,1508871000,77,38.85,20.95,59.0,8.05
256,Creemore,90,CA,1508871600,66,44.33,-80.11,55.4,20.8
257,Piekary Slaskie,40,PL,1508873400,93,50.38,18.93,39.2,6.93
258,Bulawayo,0,ZW,1508873911,28,-20.15,28.58,69.23,7.74
259,Taga,90,RO,1508871600,87,46.95,24.05,50.0,1.12
260,Santa Ana,1,US,1508871480,10,33.75,-117.87,102.2,19.46
261,Villanueva de la Serena,0,ES,1508873912,72,38.98,-5.8,56.22,5.17
262,Atala,0,FI,1508872800,86,61.5,23.91,33.8,3.36
263,Lubigan,32,PH,1508873913,87,13.74,122.94,77.46,8.97
264,Gola Bazar,0,IN,1508873913,42,26.34,83.36,64.46,4.94
265,Calarca,90,CO,1508871600,100,4.53,-75.64,80.6,4.7
266,Praxedis Guerrero,5,MX,1508871300,24,31.37,-106.02,68.0,17.22
267,Barguzin,20,RU,1508873914,70,53.62,109.62,11.04,2.48
268,El Plan,75,HN,1508871600,70,15.28,-87.97,87.8,4.7
269,Torre-Pacheco,0,ES,1508873400,77,37.74,-0.95,69.8,5.82
270,Helensburgh,88,GB,1508872800,87,56.01,-4.73,51.8,13.87
271,Isla Soyaltepec,92,MX,1508873915,94,18.21,-96.48,64.37,0.36
272,Fort Nelson,75,CA,1508871600,54,58.81,-122.7,35.6,3.6
273,Calca,75,PE,1508871600,22,-13.33,-71.95,69.8,5.82
274,Uni,56,RU,1508873916,90,57.75,51.49,23.78,5.39
275,Foca,75,TR,1508871000,82,38.67,26.76,64.4,9.17
276,Elizabethtown,90,US,1508872500,54,37.69,-85.86,60.8,13.87
277,Coleraine,40,GB,1508872800,87,55.13,-6.67,53.6,13.87
278,Bunia,48,CD,1508873918,95,1.57,30.25,64.37,3.27
279,Ocos,90,GT,1508871600,70,14.51,-92.19,84.2,4.7
280,Bantilan,92,PH,1508873918,100,14.75,121.67,77.37,10.98
281,Vamdrup,100,DK,1508872800,93,55.43,9.28,57.2,12.75
282,Silvania,40,BR,1508871600,22,-16.66,-48.61,87.8,11.41
283,Dix Hills,90,US,1508873220,88,40.8,-73.34,71.6,26.4
284,Makanya,0,TZ,1508873919,96,-4.37,37.83,62.79,2.15
285,Satu Mare,0,RO,1508871600,76,47.8,22.88,48.2,6.93
286,Lunca Cernii de Jos,76,RO,1508873920,98,45.63,22.62,44.07,3.71
287,Nizhneivkino,48,RU,1508873920,86,58.19,49.52,24.77,4.16
288,Cislau,100,RO,1508873921,88,45.25,26.37,45.2,20.94
289,Mingyue,0,CN,1508873921,56,43.11,128.92,36.92,5.39
290,Vidnoye,90,RU,1508871600,68,55.55,37.71,30.2,6.71
291,Economy,75,US,1508871360,58,40.6,-80.22,59.0,16.11
292,Loyga,80,RU,1508873922,89,61.08,44.61,26.07,3.6
293,El Cajon,5,US,1508871480,9,32.79,-116.96,107.6,11.21
294,Palermo,40,IT,1508871000,52,38.12,13.36,68.0,17.22
295,Brumunddal,92,NO,1508873923,100,60.88,10.94,34.85,9.31
296,Udaipur,0,IN,1508873923,44,24.57,73.69,62.03,3.94
297,Itum-Kali,8,RU,1508873923,82,42.74,45.58,26.16,1.7
298,San Antonio,40,US,1508871360,17,29.42,-98.49,78.8,14.99
299,Barstow,1,US,1508871300,17,34.9,-117.02,82.4,4.7
300,Maridi,12,SS,1508873924,94,4.92,29.47,66.71,6.17
301,Glen Allen,90,US,1508872500,60,37.67,-77.51,77.0,9.17
302,Ivry-sur-Seine,40,FR,1508873400,93,48.82,2.38,62.6,4.7
303,Gaitanion,40,GR,1508872800,76,37.78,20.87,57.2,5.82
304,Turanj,20,HR,1508873400,47,43.97,15.41,57.2,2.24
305,Manises,0,ES,1508873400,72,39.49,-0.46,66.2,2.24
306,Nakhon Nayok,36,TH,1508873926,97,14.2,101.21,69.32,2.71
307,Matay,24,EG,1508873639,50,28.42,30.78,65.72,7.29
308,Constitucion,0,CL,1508873926,86,-35.33,-72.42,56.9,16.02
309,Sanmihaiu Almasului,90,RO,1508871600,87,47.02,23.3,50.0,1.12
310,Fort Myers Beach,90,US,1508872320,100,26.45,-81.95,84.2,8.05
311,Salama,92,HN,1508873927,100,14.83,-86.58,69.5,3.27
312,Strazske,40,SK,1508871600,81,48.87,21.84,42.8,4.47
313,New Bedford,90,US,1508873220,88,41.64,-70.93,73.4,17.22
314,Korce,90,AL,1508868000,65,40.62,20.78,46.4,9.17
315,Izvoarele,92,RO,1508873928,85,45.03,25.27,47.09,7.96
316,Malasila,75,PH,1508868000,88,6.94,125.13,77.0,5.82
317,Sao Lourenco do Sul,0,BR,1508871600,56,-31.37,-51.98,73.4,13.87
318,Feira Nova,40,BR,1508871600,74,-7.95,-35.39,80.6,16.11
319,Tlalnepantla,75,MX,1508870940,40,19.53,-99.22,68.0,12.75
320,Le Pecq,40,FR,1508873400,93,48.89,2.1,62.6,4.7
321,Chekalin,80,RU,1508873931,67,54.1,36.24,29.0,6.4
322,Kuchl,75,AT,1508871000,76,47.63,13.14,50.0,11.41
323,Fontainebleau,40,FR,1508873400,93,48.4,2.7,62.6,6.93
324,Sunnyvale,1,US,1508871480,28,37.37,-122.04,87.8,4.7
325,Shchors,0,UA,1508873932,86,51.82,31.95,28.82,8.75
326,Sovetskoye,64,RU,1508873932,90,52.29,85.41,34.44,21.39
327,Suchitoto,20,SV,1508871000,69,13.94,-89.03,89.6,5.82
328,San Marcos,75,HN,1508871600,94,15.3,-88.42,87.8,6.93
329,Columbio,48,PH,1508873934,100,6.7,124.94,72.96,2.59
330,Balsas,8,BR,1508873934,18,-7.53,-46.04,97.58,7.63
331,Mykonos,40,GR,1508872800,72,37.45,25.33,66.2,6.93
332,Osterburg,92,DE,1508873934,95,52.78,11.77,54.69,12.44
333,Belvaux,90,LU,1508873400,100,49.51,5.93,57.2,8.05
334,Torrington,90,US,1508871960,94,41.8,-73.12,73.4,13.87
335,Vrutky,0,SK,1508871600,86,49.11,18.92,46.4,5.82
336,Grozesti,90,RO,1508871600,93,44.65,23.32,48.2,19.46
337,Mahala,75,BA,1508871600,87,44.01,18.26,48.2,8.05
338,Benton,40,US,1508871360,25,34.56,-92.59,66.2,24.16
339,Matiompong,48,PH,1508873936,100,6.7,124.57,72.96,2.59
340,Velikiy Novgorod,0,RU,1508873937,81,58.52,31.28,18.74,2.71
341,Ferreiras,0,PT,1508871600,77,37.13,-8.24,69.8,4.7
342,Korostyshiv,0,UA,1508873938,90,50.32,29.06,29.72,7.29
343,Waldwick,90,US,1508872620,88,41.01,-74.12,73.4,21.92
344,Novaya Gollandiya,20,RU,1508871600,86,59.93,30.29,33.8,2.24
345,Lar,0,IN,1508873939,45,26.2,83.97,63.51,2.93
346,Ust-Ilimsk,56,RU,1508873939,81,58.0,102.66,21.35,2.59
347,Thika,75,KE,1508871600,82,-1.03,37.07,66.2,3.36
348,Izola,0,SI,1508871600,76,45.54,13.66,62.6,9.17
349,Bad Salzuflen,75,DE,1508872800,93,52.09,8.74,60.8,17.22
350,Yeranos,0,AM,1508871600,43,40.2,45.19,51.8,3.36
351,Chapala,5,MX,1508870640,31,20.3,-103.2,78.8,21.92
352,Epinay-sur-Orge,40,FR,1508873400,93,48.67,2.31,62.6,4.7
353,Terrace,90,CA,1508871600,93,54.52,-128.6,42.8,13.87
354,Zaoyang,100,CN,1508873942,86,32.13,112.75,54.02,3.04
355,San Pablo Autopan,75,MX,1508870940,48,19.36,-99.66,68.0,18.34
356,Sinazongwe,0,ZM,1508873943,63,-17.26,27.46,74.27,2.37
357,Ban Khlong Phae,76,TH,1508873944,99,14.52,100.39,72.96,5.61
358,Mbigou,20,GA,1508873888,96,-1.9,11.91,68.33,2.15
359,Chichigalpa,40,NI,1508871600,74,12.58,-87.03,84.2,4.7
360,San Carlos,92,VE,1508873944,73,9.66,-68.58,80.84,6.62
361,Robertsfors,0,SE,1508872800,86,64.19,20.85,37.4,6.93
362,Changzhou,0,CN,1508873945,83,31.78,119.97,41.06,3.6
363,Bhilai,0,IN,1508873945,73,21.22,81.43,69.86,2.82
364,Falkhytta,75,NO,1508872800,57,62.8,6.89,50.0,18.34
365,Bystryy Istok,44,RU,1508873946,84,52.37,84.39,34.04,21.61
366,La Paz,75,BO,1508871600,26,-16.5,-68.15,55.4,17.22
367,Castres,0,FR,1508873400,72,43.6,2.25,60.8,5.82
368,Bendevís,40,GR,1508871000,77,35.33,25.13,62.6,9.17
369,Delray Beach,20,US,1508872140,74,26.46,-80.07,82.4,10.29
370,Novoselitskoye,92,RU,1508873948,93,44.75,43.44,47.36,15.9
371,Para de Minas,75,BR,1508868000,42,-19.86,-44.61,82.4,12.75
372,Louros,40,GR,1508872800,93,39.16,20.75,59.0,3.49
373,Mao,0,ES,1508873400,82,39.89,4.27,60.8,3.36
374,Bongaigaon,44,IN,1508873949,96,26.48,90.56,66.66,4.61
375,Sipacapa,100,GT,1508873949,100,15.2,-91.67,61.67,2.26
